"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
246134	2829	0	12485	62202477	FIRST SOUTHERN STATE BANK	80 BANK STREET 	STEVENSON	AL	35772	041	2025-10-20T11:44:23
246451	8572	0	0	81507166	CITIZENS BANK OF ROGERSVILLE	1001 WEST CENTER STREET 	ROGERSVILLE	MO	65742	051	2025-10-28T16:52:03
246657	1874	0	0	101001047	BANK OF LABOR	6301 GLENWOOD, 3RD FLOOR 	OVERLAND PARK	KS	66202	041	2025-10-31T07:52:32
246947	3837	7015	0	81905069	FIRST NATIONAL BANK OF SPARTA, THE	BROADWAY AND MARKET STREET 	SPARTA	IL	62286	051	2025-10-06T14:12:23
246956	9465	0	0	103101275	ALVA STATE BANK & TRUST COMPANY	518 COLLEGE AVENUE 	ALVA	OK	73717	051	2025-11-05T16:26:07
247140	22334	0	0	75912275	ONE COMMUNITY BANK	733 NORTH MAIN STREET 	OREGON	WI	53575	051	2026-01-22T17:04:16
247355	15809	0	0	114921949	SECURITY STATE BANK & TRUST	201 WEST MAIN STREET 	FREDERICKSBURG	TX	786243709	051	2025-12-03T10:35:01
247476	28314	0	1350	253171197	RIVERSIDE SAVINGS BANK, SSB	325 BECKER DRIVE 	ROANOKE RAPIDS	NC	27870	051	2025-10-27T09:53:48
247551	3017	0	0	102102000	HIGH PLAINS BANK	329 MAIN AVENUE 	FLAGLER	CO	80815	051	2025-10-30T12:11:15
247908	13063	0	8510	211274502	KENNEBUNK SAVINGS BANK	104 MAIN ST 	KENNEBUNK	ME	04043	051	2025-10-20T14:59:43
248240	19506	0	0	71108559	BANK OF SPRINGFIELD	2600 STEVENSON DRIVE 	SPRINGFIELD	IL	62703	041	2025-10-29T16:10:55
248352	1983	0	0	104103829	WESTERN NEBRASKA BANK	301 CENTER AVENUE 	CURTIS	NE	69025	051	2025-10-27T11:33:23
248455	14801	0	0	91310770	FIRST STATE BANK & TRUST	22 EAST 4TH STREET 	WILLISTON	ND	58801	051	2025-10-28T17:21:10
248633	23376	0	13698	62203230	FIRST JACKSON BANK	43243 U.S. HIGHWAY 72 	STEVENSON	AL	35772	051	2025-10-29T15:22:58
248745	10380	0	0	75906346	OOSTBURG STATE BANK	905 CENTER AVENUE 	OOSTBURG	WI	53070	051	2025-10-27T09:08:29
249416	7631	0	0	31303093	UNB BANK	1 NORTH OAK STREET 	MOUNT CARMEL	PA	17851	051	2025-10-28T15:32:02
249612	16068	0	0	226070584	APPLE BANK	122 EAST 42ND STREET 	NEW YORK	NY	10168	041	2025-12-12T15:08:51
249658	3019	0	0	107000929	ROCKY MOUNTAIN BANK AND TRUST	101 EAST MAIN STREET 	FLORENCE	CO	81226	051	2026-01-20T16:27:49
250430	21050	0	0	62202257	FIRST STATE BANK OF THE SOUTH, INC.	5856 HIGHWAY 278 	SULLIGENT	AL	35586	051	2025-10-29T18:18:11
250476	29399	703395	3395	271070924	GN BANK	4619 SOUTH MARTIN LUTHER KING DRIVE 	CHICAGO	IL	60653	051	2025-10-31T09:21:46
250850	25750	0	0	103103215	COMMUNITY BANK	1729 COLLEGE BOULEVARD 	ALVA	OK	73717	051	2025-12-23T13:56:32
251558	5062	3806	0	91101730	FIRST NATIONAL BANK & TRUST	233 SOUTH STEPHENSON AVENUE 	IRON MOUNTAIN	MI	49801	051	2025-10-24T15:21:38
251745	3863	13637	0	84101417	FIRST NATIONAL BANK OF EASTERN ARKANSAS	101 NORTH WASHINGTON STREET 	FORREST CITY	AR	72335	051	2025-10-29T11:02:07
251978	32459	708286	8286	311193059	HOMELAND FEDERAL SAVINGS BANK	7840 U.S. HIGHWAY 165 	COLUMBIA	LA	71418	051	2025-10-30T14:15:02
252041	14410	0	0	73911061	CITY STATE BANK	801 MAIN STREET 	NORWALK	IA	50211	051	2025-10-31T10:17:16
252452	10628	0	0	101911962	PREFERRED BANK	205 MAIN STREET 	ROTHVILLE	MO	64676	051	2025-10-16T10:22:19
253356	3210	8899	0	113100091	MOODY NATIONAL BANK	2302 POSTOFFICE STREET 	GALVESTON	TX	77550	041	2025-10-24T13:45:04
253468	18983	0	0	121133416	RIVER CITY BANK	2480 NATOMAS PARK DRIVE 	SACRAMENTO	CA	95833	041	2025-10-30T20:48:26
253646	8094	0	0	73921530	NSB BANK	2650 4TH STREET SOUTHWEST 	MASON CITY	IA	50401	051	2026-02-12T18:26:17
253730	9615	0	15506	62104290	SWEET WATER STATE BANK	31385 AL HWY 10 	SWEET WATER	AL	36782	051	2025-10-23T11:56:46
254317	13397	0	0	21311383	BANK OF UTICA	222 GENESEE STREET 	UTICA	NY	13502	051	2025-10-23T10:09:00
254504	12959	0	0	22307820	CATTARAUGUS COUNTY BANK	120 MAIN STREET 	LITTLE VALLEY	NY	14755	051	2026-05-01T13:12:10
254849	20179	0	16107	72001079	FIRST INDEPENDENCE BANK	7310 WOODWARD AVENUE, SUITE 101 	DETROIT	MI	48202	051	2025-10-27T16:02:22
255350	10928	0	0	91109253	MINERS STATE BANK, THE	312 W. GENESEE ST. 	IRON RIVER	MI	49935	051	2025-10-17T12:38:21
255556	22717	0	0	103102274	CITIZENS BANK & TRUST COMPANY OF ARDMORE	1100 NORTH COMMERCE STREET 	ARDMORE	OK	73401	051	2025-11-21T14:51:24
255574	28316	0	1355	265070532	FIDELITY BANK	353 CARONDELET STREET 	NEW ORLEANS	LA	70130	051	2025-10-30T16:30:10
255659	16980	0	0	107002448	BANK OF COLORADO	1609 EAST HARMONY ROAD 	FORT COLLINS	CO	80525	041	2025-10-29T15:13:38
256058	24472	0	0	103102960	AMERICAN NATION BANK	1901 NORTH COMMERCE 	ARDMORE	OK	73401	051	2025-11-05T19:04:18
256076	28315	0	1351	302170405	RG BANK, A SAVINGS AND LOAN ASSOCIATION	901 FIRST AVENUE 	MONTE VISTA	CO	81144	051	2025-10-10T14:37:57
256179	22514	0	0	124302464	UTAH INDEPENDENT BANK	55 SOUTH STATE STREET 	SALINA	UT	84654	051	2025-10-29T16:31:51
256553	17437	0	0	91400172	DACOTAH BANK	308 SOUTH MAIN STREET 	ABERDEEN	SD	57401	041	2026-04-30T11:49:05
257233	2832	0	14230	62200961	FIRST BANK OF ALABAMA	120 EAST NORTH ST 	TALLADEGA	AL	35160	051	2025-11-12T13:25:48
257345	5317	5658	0	75906469	PESHTIGO NATIONAL BANK	250 FRENCH STREET 	PESHTIGO	WI	54157	051	2025-10-22T11:26:41
257578	31516	707101	7101	274970827	FIRST FEDERAL SAVINGS BANK	301 EAST 9TH STREET 	ROCHESTER	IN	46975	051	2025-12-17T09:34:25
257653	13415	0	0	103105530	FARMERS AND MERCHANTS BANK	225 EAST RENFROW 	ARNETT	OK	73832	051	2025-10-21T15:25:32
257756	23764	0	0	107003942	FMS BANK	520 SHERMAN STREET 	FORT MORGAN	CO	80701	051	2025-10-29T17:07:13
258306	16101	0	7458	211170211	MILFORD BANK THE	33 BROAD STREET BOX 429	MILFORD	CT	06460	051	2025-10-30T11:24:48
258379	32348	0	8170	253171537	TAYLORSVILLE SAVINGS BANK, SSB	107 MAIN AVENUE DRIVE 	TAYLORSVILLE	NC	28681	051	2025-11-13T11:35:40
258539	11686	0	0	71112176	STATE BANK OF CHERRY	110 SOUTH MAIN STREET 	CHERRY	IL	61317	051	2025-10-23T08:44:14
258874	29426	703435	3435	291270717	WORTHINGTON FEDERAL SAVINGS BANK, F.S.B.	418 11TH STREET 	WORTHINGTON	MN	56187	051	2026-01-26T16:34:56
259059	5401	0	0	104900802	F&M BANK	1701 STONE STREET 	FALLS CITY	NE	68355	051	2025-10-22T11:34:20
259330	17077	0	10112	62103592	FIRST US BANK	3291 US HIGHWAY 280 	BIRMINGHAM	AL	35243	041	2025-10-30T13:29:19
259442	9037	0	0	75908687	MOUND CITY BANK	25 EAST PINE STREET 	PLATTEVILLE	WI	53818	051	2025-10-23T14:58:41
259956	13249	0	0	91110093	STATE SAVINGS BANK OF MANISTIQUE, THE	101 SOUTH CEDAR STREET 	MANISTIQUE	MI	49854	051	2025-10-28T14:21:35
260055	23091	0	0	102103407	ALPINE BANK	2200 GRAND AVENUE 	GLENWOOD SPRINGS	CO	81601	041	2025-10-29T15:14:16
260831	889	0	0	61204971	GEORGIA FIRST BANK	1202 SECOND STREET NORTH 	SOPERTON	GA	30457	051	2025-10-16T09:36:15
261146	8120	0	0	83906888	MAGNOLIA BANK, INC	651 WEST DIXIE AVENUE 	ELIZABETHTOWN	KY	42701	041	2025-11-14T08:55:13
261360	16753	0	0	113112995	CITIZENS STATE BANK	155 8TH STREET 	SOMERVILLE	TX	77879	051	2025-10-10T16:12:20
261940	3869	0	0	82905505	ANSTAFF BANK	100 FIRST NATIONAL AVENUE 	GREEN FOREST	AR	72638	051	2025-10-24T16:36:59
262059	2326	0	0	103102892	AVB BANK	322 SOUTH MAIN STREET 	BROKEN ARROW	OK	74012	051	2025-10-29T16:14:36
262237	21784	0	12916	61202452	FIRST PORT CITY BANK	400 WEST SHOTWELL STREET 	BAINBRIDGE	GA	39819	051	2025-10-29T13:52:18
262358	9967	0	0	111909210	AMERICAN STATE BANK	102 FRONT STREET 	ARP	TX	75750	051	2026-04-10T16:50:24
262741	12869	0	0	83902316	FARMERS BANK & TRUST COMPANY	201 SOUTH MAIN STREET 	MARION	KY	42064	051	2025-10-30T18:33:03
262844	12814	0	0	75908658	PEOPLES STATE BANK	301 EAST BLACKHAWK AVENUE 	PRAIRIE DU CHIEN	WI	53821	051	2025-10-30T16:53:47
262956	15165	0	0	91103181	PEOPLES STATE BANK OF MUNISING	100 E. SUPERIOR 	MUNISING	MI	49862	051	2025-10-30T12:54:36
263243	21247	0	0	83901113	FIRST KENTUCKY BANK, INC.	223 SOUTH SIXTH STREET 	MAYFIELD	KY	42066	041	2025-10-14T12:22:04
263627	6725	5635	0	44206475	FIRST NATIONAL BANK OF WAVERLY, THE	107 NORTH MARKET STREET 	WAVERLY	OH	45690	051	2025-10-23T09:23:53
264455	15206	0	0	111921777	FIRST STATE BANK	130 EAST CORSICANA STREET 	ATHENS	TX	757512502	051	2025-10-30T12:52:35
264772	32551	25228	0	124303256	LENDINGCLUB BANK, NATIONAL ASSOCIATION	2701 N THANKSGIVING WAY, SUITE 300 	LEHI	UT	84043	041	2025-10-28T19:13:33
265340	12163	0	0	83905546	FARMERS BANK OF MILTON, THE	41 FERRY STREET 	MILTON	KY	40045	051	2025-10-27T15:56:50
265407	18012	0	10780	211770271	BANK OF NEW HAMPSHIRE	62 PLEASANT STREET 	LACONIA	NH	03246	051	2025-10-23T09:23:59
265452	18165	0	0	101109321	STOCKGROWERS STATE BANK, THE	3RD & MAIN 	MAPLE HILL	KS	66507	051	2025-10-29T12:15:09
265676	31545	0	0	284373838	CENTRAL BANK	485 WAYNE ROAD 	SAVANNAH	TN	38372	051	2025-10-16T10:49:55
266244	12706	0	0	81006395	STATE BANK	885 NORTH ILLINOIS ROUTE 3 	WATERLOO	IL	62298	051	2025-10-29T09:23:47
266253	4061	0	0	103102368	ACB BANK	323 SOUTH GRAND 	CHEROKEE	OK	73728	051	2025-10-25T16:24:59
266655	5405	0	0	104901717	FIRST BANK AND TRUST OF FULLERTON	230 BROADWAY 	FULLERTON	NE	68638	051	2025-10-27T13:43:39
266851	14056	0	0	81914131	FARMERS AND MERCHANTS BANK OF ST. CLAIR	959 N. COMMERCIAL AVE 	SAINT CLAIR	MO	63077	051	2025-10-23T14:55:22
266945	292	0	0	83902581	MONTICELLO BANKING COMPANY	50 NORTH MAIN STREET 	MONTICELLO	KY	42633	051	2025-10-16T16:21:05
267652	16656	0	0	91916527	SECURITY STATE BANK OF AITKIN	402 MINNESOTA AVENUE NORTH 	AITKIN	MN	56431	051	2025-11-05T12:35:47
268006	18013	0	0	211770213	MASCOMA BANK	67 NORTH PARK STREET 	LEBANON	NH	03766	041	2025-10-27T09:19:34
268136	11295	0	0	61203558	CITIZENS BANK OF SWAINSBORO, THE	121 NORTH MAIN STREET 	SWAINSBORO	GA	30401	051	2025-10-29T13:07:04
268677	30394	705273	5273	226072498	CARVER FEDERAL SAVINGS BANK	75 WEST 125TH STREET 	NEW YORK	NY	10027	041	2025-10-23T15:32:00
268828	19011	0	0	51401153	LEGACY BANK	20957 RIVERSIDE DRIVE 	GRUNDY	VA	24614	041	2025-11-13T12:22:42
268976	27238	0	4390	211371573	WINCHESTER CO-OPERATIVE BANK	19 CHURCH STREET 	WINCHESTER	MA	01890	051	2025-10-22T14:58:32
269049	11763	0	0	73905187	VISIONBANK OF IOWA	104 CHESTNUT 	AMES	IA	50010	051	2025-10-29T17:21:52
269058	10989	0	0	91904610	LAKE CENTRAL BANK	40 CHESTNUT STREET WEST 	ANNANDALE	MN	55302	041	2025-10-21T16:30:11
269571	29471	0	3506	243373280	ARMSTRONG COUNTY BUILDING AND LOAN ASSOCIATION	935 FIFTH AVE. 	FORD CITY	PA	16226	051	2025-10-29T15:46:02
269759	8845	0	0	91211963	FARMERS AND MERCHANTS STATE BANK OF APPLETON	239 NORTH MILES STREET 	APPLETON	MN	56208	051	2025-10-15T09:23:10
270148	19689	0	0	81218879	STATE BANK OF WHITTINGTON	200 NORTH MAIN STREET 	BENTON	IL	62812	051	2026-01-14T09:56:36
270353	1391	0	0	91904322	ARLINGTON STATE BANK	230 WEST MAIN 	ARLINGTON	MN	55307	051	2025-10-30T12:32:35
270504	6271	1368	0	11601029	COMMUNITY NATIONAL BANK	4811 US ROUTE 5 	DERBY	VT	05829	051	2025-10-29T11:27:29
270531	22811	0	0	71002422	BRICKYARD BANK	6676 NORTH LINCOLN AVENUE 	LINCOLNWOOD	IL	60712	051	2025-10-29T12:24:58
270652	16448	0	0	91408161	SECURITY STATE BANK	450 MAIN STREET 	ALEXANDRIA	SD	57311	051	2026-03-11T14:46:58
271136	17878	0	0	65000731	BANK OF LOUISIANA	300 ST.CHARLES AVENUE 	NEW ORLEANS	LA	70130	051	2025-10-29T15:28:52
271275	27269	0	5366	211372035	DEAN CO-OPERATIVE BANK	21 MAIN STREET 	FRANKLIN	MA	02038	041	2025-10-28T15:14:13
271341	5847	0	0	83905630	PEOPLES BANK MT WASHINGTON	201 NORTH BARDSTOWN ROAD 	MOUNT WASHINGTON	KY	40047	051	2025-10-22T10:52:18
271529	9155	0	13478	53206819	COUNTYBANK	419 MAIN STREET 	GREENWOOD	SC	29646	051	2025-11-14T14:35:31
272030	170	0	0	61103920	PEOPLES BANK OF GEORGIA, THE	26 WEST MONROE STREET 	TALBOTTON	GA	31827	051	2025-10-29T09:14:40
272058	17062	0	0	91216340	STATE BANK OF BELLINGHAM	201 MAIN 	BELLINGHAM	MN	56212	051	2025-10-17T14:27:41
272151	3232	11642	0	114919281	GRANGER NATIONAL BANK, THE	201 WEST DAVILLA 	GRANGER	TX	76530	051	2025-10-29T11:57:05
272272	28332	0	0	281573259	SOUTHERN BANK	2991 OAK GROVE ROAD 	POPLAR BLUFF	MO	63901	051	2025-10-30T12:39:41
272302	90250	0	16919	211370943	INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY	93 STATE STREET 	NEWBURYPORT	MA	01950	041	2025-10-14T10:44:44
273336	21031	0	13789	63108680	BANK OF TAMPA, THE	601 BAYSHORE BLVD 	TAMPA	FL	336062761	041	2025-11-05T10:53:40
273550	17672	0	0	101105079	CITIZENS STATE BANK, THE	201 SOUTH CHRISTIAN AVENUE 	MOUNDRIDGE	KS	67107	051	2025-10-23T10:20:17
273653	9727	0	0	91909518	CONCORDE BANK	16 SW MAIN ST. 	BLOMKEST	MN	56216	051	2025-10-29T08:43:16
273662	9978	0	0	114902405	FIRST STATE BANK OF UVALDE	200 EAST NOPAL STREET 	UVALDE	TX	788015332	051	2025-10-22T15:46:15
273840	3846	0	0	81216758	COMMUNITY FIRST BANK OF THE HEARTLAND	117 NORTH 10TH STREET 	MOUNT VERNON	IL	62864	051	2025-10-10T13:18:55
273859	12284	0	0	103104816	FARMERS AND MERCHANTS BANK	101 EAST SECOND STREET 	DUKE	OK	73532	051	2025-10-06T09:02:22
274025	9438	0	0	41213704	MT. VICTORY STATE BANK	103 SOUTH MAIN ST 	MOUNT VICTORY	OH	43340	051	2025-10-22T16:07:14
274052	14024	0	0	101109512	FARMERS AND MERCHANTS BANK OF MOUND CITY, KANSAS	103 SOUTH 5TH STREET 	MOUND CITY	KS	66056	051	2025-10-17T11:40:51
274829	21883	0	11947	51403672	TRUPOINT BANK	20089 RIVERSIDE DRIVE 	GRUNDY	VA	24614	041	2025-10-17T10:27:40
274856	1118	0	0	91401919	CITIZENS STATE BANK OF ARLINGTON	128 SOUTH MAIN STREET 	ARLINGTON	SD	57212	051	2025-10-24T13:31:45
275255	19274	0	0	104101258	BANNER CAPITAL BANK	205 STATE STREET 	HARRISBURG	NE	69345	041	2026-02-13T10:27:24
275358	1117	0	0	91407175	AMERICAN BANK & TRUST	6810 S. MINNESOTA AVE. 	SIOUX FALLS	SD	57108	051	2025-10-29T18:23:25
275479	29842	0	4186	211072885	COMMONWEALTH COOPERATIVE BANK	1172 RIVER STREET 	HYDE PARK	MA	02136	051	2025-10-29T09:32:31
275657	10503	0	0	101112318	FIRST STATE BANK, THE	206 NORTH PENNSYLVANIA AVENUE 	NESS CITY	KS	67560	051	2025-10-21T13:29:08
276074	29496	703552	3552	221371770	SENECA SAVINGS	35 OSWEGO ST 	BALDWINSVILLE	NY	13027	051	2025-10-24T11:36:02
276159	4735	0	0	101106353	SOUTHWIND BANK	702 NORTH 2ND STREET 	NATOMA	KS	67651	051	2025-10-21T11:27:59
276551	3029	8489	0	102102576	FIRST NATIONAL BANK OF HUGO	321 4TH STREET 	HUGO	CO	80821	051	2025-10-28T12:05:13
276579	2270	4341	0	124000054	ZIONS BANCORPORATION, NATIONAL ASSOCIATION	ONE SOUTH MAIN STREET, SUITE 200 	SALT LAKE CITY	UT	84133	041	2025-10-29T18:13:29
276645	26944	0	0	73922403	AMERICAN STATE BANK	1000 JEFFREYS DRIVE 	OSCEOLA	IA	50213	051	2025-12-05T11:14:59
276654	1600	0	0	91206703	FIRST FARMERS & MERCHANTS STATE BANK	106 WEST MAIN STREET 	BROWNSDALE	MN	55918	041	2025-10-10T16:51:38
276850	5415	0	0	104113819	SECURITY FIRST BANK	5505 RED ROCK LANE 	LINCOLN	NE	68516	051	2025-10-22T14:58:50
276953	1687	0	0	91406972	COMMUNITY BANK	118 N. MAIN STREET 	AVON	SD	57315	051	2025-10-20T14:47:31
277240	22282	0	0	71924306	FIRST NATIONS BANK	7757 WEST DEVON AVENUE 	CHICAGO	IL	60631	051	2025-10-17T11:51:20
277277	30431	0	0	243073959	SSB BANK	8700 PERRY HIGHWAY 	PITTSBURGH	PA	15237	041	2025-11-17T14:24:19
277736	4945	0	0	64206031	PEOPLES BANK OF THE SOUTH	100 WEST CENTRAL AVENUE 	LAFOLLETTE	TN	37766	051	2025-10-30T11:21:22
277820	17563	0	12235	53202596	PALMETTO STATE BANK	601 FIRST STREET W 	HAMPTON	SC	29924	051	2025-10-20T14:08:37
278256	1867	0	0	101104795	FARMERS STATE BANK OF OAKLEY, KANSAS, THE	100 CENTER AVENUE 	OAKLEY	KS	67748	051	2026-01-30T12:07:45
278555	4091	12044	0	103100195	STRIDE BANK, NATIONAL ASSOCIATION	324 WEST BROADWAY AVENUE 	ENID	OK	73701	051	2025-11-10T13:13:15
278733	16275	0	0	61211346	CITIZENS BANK OF COCHRAN, THE	124 EAST DYKES STREET 	COCHRAN	GA	31014	051	2025-10-23T13:46:42
278751	5110	6352	0	91206826	WESTERN NATIONAL BANK OF CASS LAKE	210 2ND STREET NW 	CASS LAKE	MN	56633	051	2026-03-09T16:52:24
278818	7514	0	0	31311807	PEOPLES SECURITY BANK AND TRUST COMPANY	100 SOUTH BLAKELY STREET 	DUNMORE	PA	18512	041	2025-10-30T12:16:24
279105	23293	0	8064	211871688	FLORENCE BANK	85 MAIN STREET 	FLORENCE	MA	01062	041	2025-10-21T11:46:38
279842	14995	0	0	75907374	RIVER BANK	145 NORTH MAIN STREET 	STODDARD	WI	54658	051	2025-10-20T12:35:35
279954	1402	0	0	91904856	CITIZENS ALLIANCE BANK	55 1ST STREET NORTHWEST 	CLARA CITY	MN	56222	041	2025-10-24T15:59:43
280110	17534	14761	0	41001039	KEYBANK NATIONAL ASSOCIATION	127 PUBLIC SQUARE 	CLEVELAND	OH	441141306	031	2025-10-29T16:45:17
280138	21526	0	12065	61102523	WEST CENTRAL GEORGIA BANK	617 N. CHURCH STREET 	THOMASTON	GA	30286	051	2026-02-26T08:24:27
280352	4092	0	0	103104120	FIRST BANK	118 WEST ROGER MILLER BLVD 	ERICK	OK	73645	051	2025-11-18T14:24:08
280558	5115	12395	0	91913177	FIRST NATIONAL BANK OF COKATO, THE	365 BROADWAY AVENUE SOUTH 	COKATO	MN	55321	051	2025-10-20T15:48:35
282075	29520	0	3586	243374221	WASHINGTON FINANCIAL BANK	77 SOUTH MAIN STREET 	WASHINGTON	PA	15301	051	2025-10-30T08:47:53
282226	1660	0	13857	53204280	FARMERS AND MERCHANTS BANK OF SOUTH CAROLINA	8624 OLD STATE ROAD 	HOLLY HILL	SC	29059	051	2025-10-07T09:14:11
282824	12985	0	0	43315147	ELDERTON STATE BANK	143 MAIN STREET 	ELDERTON	PA	15736	051	2025-10-29T11:00:42
283438	20856	0	10886	65002108	LIBERTY BANK AND TRUST COMPANY	6600 PLAZA DRIVE SUITE 600	NEW ORLEANS	LA	70127	041	2025-10-30T11:26:12
283652	24677	17926	0	103903046	TRIAD BANK, NATIONAL ASSOCIATION	7646 EAST 61ST STREET 	TULSA	OK	74133	051	2025-10-30T09:38:18
283737	19502	15550	11218	64101233	FIRST NATIONAL BANK OF TENNESSEE	214 EAST MAIN STREET 	LIVINGSTON	TN	38570	051	2025-10-23T14:37:31
283867	20845	0	0	113113392	WALLIS BANK	6510 RAILROAD STREET 	WALLIS	TX	77485	051	2025-10-22T16:33:19
284154	18856	0	0	103101013	OKLAHOMA CAPITAL BANK	8080 S. YALE AVE 	TULSA	OK	74126	051	2025-10-16T16:26:47
284239	1713	0	17417	64104162	BANK OF PERRY COUNTY	33 SOUTH MAIN STREET 	LOBELVILLE	TN	37097	051	2025-10-24T13:37:43
284556	12285	0	0	103107622	CATTLEMENS BANK	3421 NORTH MAIN STREET 	ALTUS	OK	73521	051	2025-12-05T15:34:04
284752	1415	714810	14810	91214753	NORTHWOODS BANK OF MINNESOTA	1200 EAST FIRST STREET 	PARK RAPIDS	MN	56470	051	2026-01-23T14:26:36
284958	8604	0	0	104907562	FIRST STATE BANK	201 MAIN STREET 	HORDVILLE	NE	68846	051	2025-10-17T16:48:00
285151	1141	0	0	102100675	COLORADO BANK AND TRUST COMPANY OF LA JUNTA, THE	301 COLORADO AVENUE 	LA JUNTA	CO	81050	041	2025-10-27T17:41:46
285348	22971	0	0	71924872	FIRST SECURE STATE BANK	7526 HANCOCK DRIVE 	WONDER LAKE	IL	60097	051	2025-10-30T18:02:54
285544	24199	17525	16222	72413450	CAPITOL NATIONAL BANK	200 WASHINGTON SQUARE NORTH 	LANSING	MI	48933	041	2026-02-13T17:44:46
285553	15749	0	0	91408909	SECURITY STATE BANK, THE	117 N. 3RD STREET 	EMERY	SD	57332	041	2025-10-22T11:21:21
285740	16664	0	0	83900402	PADUCAH BANK AND TRUST COMPANY, THE	555 JEFFERSON STREET 	PADUCAH	KY	42001	041	2025-12-04T14:55:08
285852	4746	0	0	101114109	FIRST OPTION BANK	601 MAIN STREET 	OSAWATOMIE	KS	66064	051	2025-11-05T11:37:37
285928	16968	0	0	53207533	PEOPLES BANK THE	801 EAST FRONT STREET 	IVA	SC	29655	051	2025-10-30T11:50:02
286251	420	0	0	103109523	BANK OF VICI	121 WEST BROADWAY 	VICI	OK	73859	051	2025-10-07T16:27:28
286457	8851	0	0	91900119	PARK STATE BANK	2630 WEST SUPERIOR STREET 	DULUTH	MN	55806	051	2025-10-29T13:33:40
286840	8513	0	0	73915449	STATE SAVINGS BANK	102 NORTH MAIN STREET 	RAKE	IA	50465	051	2025-10-29T17:33:09
287007	6990	976	0	21906808	PUTNAM COUNTY NATIONAL BANK OF CARMEL, THE	43 GLENEIDA AVENUE 	CARMEL	NY	10512	051	2025-10-27T16:03:44
287342	9300	0	0	73915494	READLYN SAVINGS BANK, THE	141 MAIN STREET 	READLYN	IA	50668	041	2025-10-19T17:43:36
287922	9439	0	0	44212139	PEOPLES SAVINGS BANK, THE	710 SECOND ST 	NEW MATAMORAS	OH	45767	051	2025-10-10T07:12:44
287959	10505	0	0	101100964	KANSAS STATE BANK	236 NORTH MAIN STREET 	OTTAWA	KS	66067	051	2025-10-29T16:49:14
288152	3985	8624	0	91403140	FIRST NATIONAL BANK OF FREDERICK, THE	314 MAIN STREET 	FREDERICK	SD	57441	051	2025-10-08T15:03:21
288376	29548	0	3645	262287386	PINNACLE BANK	1811 2ND AVENUE 	JASPER	AL	35501	041	2025-10-27T17:19:11
288853	18714	0	0	107005047	FIRSTBANK	10403 W. COLFAX AVENUE 	LAKEWOOD	CO	80215	041	2025-10-23T11:06:45
289056	13784	6863	0	91107705	NORTHERN INTERSTATE BANK, NATIONAL ASSOCIATION	501 WEST U.S. HIGHWAY 2 	NORWAY	MI	49870	051	2025-10-22T09:30:02
289225	15326	0	0	44107778	UNION BANKING COMPANY, THE	105 EAST CENTER STREET 	WEST MANSFIELD	OH	43358	051	2025-10-27T10:45:42
289515	8405	0	0	31304306	FARMERS AND MERCHANTS TRUST COMPANY OF CHAMBERSBURG	20 SOUTH MAIN STREET 	CHAMBERSBURG	PA	17201	051	2025-10-29T14:13:03
289702	17658	0	8540	211274515	NORWAY SAVINGS BANK	261 MAIN STREET 	NORWAY	ME	04268	051	2025-10-29T16:39:16
289739	17767	0	11799	65204980	GUARANTY BANK AND TRUST COMPANY	175 NEW ROADS STREET 	NEW ROADS	LA	70760	051	2025-10-28T16:27:03
289757	1125	0	0	91402277	MERCHANTS STATE BANK	305 S. MAIN 	FREEMAN	SD	57029	051	2025-10-15T12:09:24
290249	16160	0	0	75901341	WAUKESHA STATE BANK	151 EAST  ST. PAUL AVENUE 	WAUKESHA	WI	53188	041	2025-10-30T15:15:29
290838	15270	0	0	62206813	MERIT BANK	659 GALLATIN STREET 	HUNTSVILLE	AL	35801	051	2025-10-29T10:47:49
290922	6728	13198	0	42207379	NATIONAL BANK OF ADAMS COUNTY OF WEST UNION, THE	218 NORTH MARKET STREET 	WEST UNION	OH	45693	051	2025-10-22T13:30:20
291059	10674	0	0	103105394	BANK OF HYDRO	146 WEST MAIN STREET 	HYDRO	OK	73048	051	2025-10-16T10:16:03
291611	11113	0	0	31309505	HAMLIN BANK AND TRUST COMPANY	333 WEST MAIN STREET 	SMETHPORT	PA	16749	051	2025-10-30T13:53:13
291732	1745	0	17234	62204378	FARMERS & MERCHANTS BANK	320 MAIN STREET 	WATERLOO	AL	35677	051	2025-11-14T16:11:59
292234	19440	0	0	262286950	FIRST FINANCIAL BANK	1630 4TH AVENUE NORTH 	BESSEMER	AL	35020	051	2026-04-21T14:42:08
292467	13600	0	0	111905133	POINTWEST BANK	200 WEST OAK STREET 	WEST	TX	766911488	051	2025-10-29T19:41:08
292850	5076	11305	0	91108746	FIRST NATIONAL BANK OF WAKEFIELD, THE	400 SUNDAY LAKE ST. 	WAKEFIELD	MI	49968	051	2025-10-07T11:26:20
293053	24897	18054	0	116312873	COMMUNITY NATIONAL BANK	500 WEST ILLINOIS AVENUE 	MIDLAND	TX	79701	051	2026-07-09T10:15:53
